player,Position,Experience,Birth,Age,Salary
Wenyen Gabriel,PF,1,3/26/1997,23,1620564
Alen Smailagic,PF,1,8/18/2000,20,1517981
Bruno Fernando,C,1,8/15/1998,22,1517981
Caleb Martin,SF,1,9/28/1995,25,1517981
Carsen Edwards,SG,1,3/12/1998,22,1517981
Chris Silva,PF,1,9/19/1996,24,1517981
Cody Martin,SF,1,9/28/1995,25,1517981
Daniel Gafford,PF-C,1,10/1/1998,22,1517981
Dean Wade,PF,1,11/20/1996,24,1517981
Eric Paschall,PF,1,11/4/1996,24,1517981
Isaiah Roby,PF,1,2/3/1998,22,1517981
Jalen Lecque,PG,1,6/13/2000,20,1517981
Jalen McDaniels,SF,1,1/31/1998,22,1517981
Javonte Green,SF-SG,6,6/21/1990,30,1517981
Jaylen Nowell,SG,1,7/9/1999,21,1517981
Justin James,SF,1,1/24/1997,23,1517981
Juwan Morgan,PF,1,4/17/1997,23,1517981
KZ Okpala,PF,1,4/28/1999,21,1517981
Luguentz Dort,SG,1,4/19/1999,21,1517981
Matt Thomas,SG,1,8/4/1994,26,1517981
Miye Oni,SG,1,8/4/1997,23,1517981
Mychal Mulder,PG,1,6/12/1994,26,1517981
Naz Reid,C,1,8/26/1999,21,1517981
Nicolas Claxton,C,2,4/17/1999,21,1517981
Talen Horton-Tucker,SG,1,11/25/2000,20,1517981
Terance Mann,SG,1,10/18/1996,24,1517981
Terence Davis,SG,1,5/16/1997,23,1517981
Vlatko Cancar,PF,1,4/10/1997,23,1517981
Robert Woodard II,SF,0,9/22/1999,21,1500000
Damian Jones,C,4,6/30/1995,25,1487284
DaQuan Jeffries,SG,1,8/30/1997,23,1445697
Jae'Sean Tate,SF,0,10/28/1995,25,1445697
Kelan Martin,SF,1,8/3/1995,25,1445697
Paul Watson,SF,1,12/30/1994,25,1445697
Vernon Carey Jr.,C,0,2/25/2001,19,1350000
Xavier Tillman,PF,0,1/12/1999,21,1300000
Tyrell Terry,PG,0,9/28/2000,20,1289846
Oshae Brissett,SF,1,6/20/1998,22,1255493
Moses Brown,C,1,10/13/1999,21,1250000
Sindarius Thornwell,SG,3,11/15/1994,26,1235889
Ersan Ilyasova,PF,12,5/15/1987,33,1194542
Glenn Robinson III,SF,6,1/8/1994,26,1165322
Khyri Thomas,SG,2,5/8/1996,24,1061283
Norvel Pelle,C,1,2/3/1993,27,1014905
Jahmi'us Ramsey,SG,0,6/9/2001,19,1000000
Lamar Stevens,PF,0,7/9/1997,23,1000000
Nick Richards,PF,0,11/29/1997,23,1000000
Juan Toscano-Anderson,SG,1,4/10/1993,27,943963
Shaquille Harrison,SG,3,10/6/1993,27,915048
Chimezie Metu,C,2,3/22/1997,23,910895
Anthony Gill,PF,0,10/17/1992,28,898310
CJ Elleby,SF,0,6/16/2000,20,898310
Daniel Oturu,C,0,9/20/1999,21,898310
Deividas Sirvydis,SG,0,6/10/2000,20,898310
Elijah Hughes,SF,0,3/10/1998,22,898310
Isaiah Joe,SG,0,7/2/1999,21,898310
Jordan Nwora,SF,0,9/9/1998,22,898310
Sam Merrill,SG,0,5/15/1996,24,898310
Tre Jones,PG,0,1/8/2000,20,898310
Iman Shumpert,SG,9,6/26/1990,30,803044
Theo Pinson,SG,2,11/5/1995,25,802182
Yuta Watanabe,SF,2,10/13/1994,26,737996
Tremont Waters,PG,1,1/10/1998,22,712278
Frank Jackson,PG,2,5/4/1998,22,699115
Rayjon Tucker,PG,1,9/24/1997,23,693755
Tyler Cook,SF-PF,1,9/23/1997,23,693141
Garrison Mathews,SG,1,10/24/1996,24,688052
Gabe Vincent,PG,1,6/14/1996,24,660750
Tacko Fall,C,1,12/10/1995,25,653924
Max Strus,SF,1,3/28/1996,24,647098
Alize Johnson,PF,2,4/22/1996,24,621587
Anthony Tolliver,PF,12,6/1/1985,35,614838
Paul Reed,PF,0,6/14/1999,21,609128
Tim Frazier,PG,6,11/1/1990,30,597463
Jordan Bell,C,3,1/7/1995,25,592368
Amir Coffey,SG,1,6/17/1997,23,578842
Naji Marshall,SF,0,1/24/1998,22,538391
Kyle Guy,PG,1,8/11/1997,23,537888
Markus Howard,SG,0,3/3/1999,21,535294
Skylar Mays,SG,0,9/5/1997,23,532218
Mamadi Diakite,PF,0,1/21/1997,23,529341
Nathan Knight,PF,0,9/20/1997,23,522989
Jared Harper,PG,1,9/14/1997,23,520487
Saben Lee,PG,0,6/23/1999,21,516836
Jarrell Brantley,PF,1,6/7/1996,24,510586
Jordan McLaughlin,PG,1,4/9/1996,24,503760
Rondae Hollis-Jefferson,PF,5,1/3/1995,25,502957
Reggie Perry,PF,0,3/21/2000,20,489148
Cassius Stanley,SG,0,8/18/1999,21,470690
Trent Forrest,PG,0,6/12/1998,22,470690
Adam Mokoka,SG,1,7/18/1998,22,449115
Cassius Winston,PG,0,2/28/1998,22,449115
Chris Chiozza,PG,2,11/21/1995,25,449115
Devon Dotson,PG,0,8/2/1999,21,449115
Devontae Cacok,PF,1,10/8/1996,24,449115
Grant Riller,PG,0,8/12/1997,23,449115
Jalen Harris,SG,0,8/14/1998,22,449115
Jay Scrubb,SG,0,9/1/2000,20,449115
Jaylen Adams,PG,2,5/4/1996,24,449115
Josh Hall,SF,0,10/8/2000,20,449115
Keita Bates-Diop,SF,2,1/23/1996,24,449115
Keljin Blevins,SF,0,11/24/1995,25,449115
Killian Tillie,C,0,3/5/1998,22,449115
Kostas Antetokounmpo,PF,2,11/20/1997,23,449115
Marques Bolden,C,1,4/17/1998,22,449115
Nate Darling,SG,0,8/30/1998,22,449115
Nate Hinton,SG,0,6/8/1999,21,449115
Nico Mannion,PG,0,3/14/2001,19,449115
Quinndary Weatherspoon,SG,1,9/10/1996,24,449115
Sean McDermott,SF,0,11/3/1996,24,449115
Ty-Shon Alexander,SG,0,7/16/1998,22,449115
Tyler Bey,SF,0,2/10/1998,22,449115
Yogi Ferrell,PG,4,5/9/1993,27,444149
Noah Vonleh,PF,6,8/24/1995,25,427725
Mason Jones,SG,0,7/21/1998,22,424544
Brodric Thomas,SG,0,1/28/1997,23,412202
Andre Roberson,SG,6,12/4/1991,29,411639
Donta Hall,PF,1,8/7/1997,23,376276
Brian Bowen II,SF,1,10/2/1998,22,375321
Anzejs Pasecniks,C,1,12/20/1995,25,374297
Freddie Gillespie,PF,0,6/14/1997,23,363015
Karim Mane,PG,0,5/16/2000,20,344557
Will Magnay,C,0,6/10/1998,22,341481
Greg Whittington,PF,0,2/7/1993,27,332252
Ray Spalding,C,1,3/11/1997,23,289156
Chasson Randle,PG,3,2/5/1993,27,279927
Justin Patton,C,3,6/14/1997,23,267623
